rp,cprice
0,-.74371016
1,-1.5822319
1,-1.8205206
0,-.4298386
0,-1.0357029
1,-.61674619
0,-1.0570595
1,-1.3929154
0,-.86564082
0,-1.2908562
0,-1.3982182
1,-.19919038
0,-.70399886
1,.08480566
1,-1.6880474
1,-1.1670033
1,-1.151746
0,-.89305204
0,-1.3515328
0,-1.5538424
1,-1.1529669
0,-1.6531467
1,-1.5506427
1,-1.4659344
0,-1.1294563
0,.54113096
1,-1.6430359
0,-1.4111526
1,-1.0489764
1,-1.3746344
1,-1.5082848
0,-1.1570299
1,-1.7943978
0,-.35614163
0,.20570636
1,-.94865102
0,-.87248802
1,-1.5488282
1,-.83703488
0,-1.6174514
1,-.94971263
0,-.26663944
0,-1.4489014
0,-1.3807056
0,-1.6452034
1,-1.7203602
1,-1.458555
1,-1.2980815
0,-1.4364785
0,-.44746849
0,-1.1903918
0,-.97001445
0,-.86794728
0,-.64640522
1,-1.0417494
1,-.99290878
1,-.29461879
0,-.86182714
0,-1.5362686
1,-.52840549
0,-1.0864681
0,-1.4242702
0,-.28451866
1,-1.5437905
0,.51741046
0,.13471986
1,-1.2849436
1,-1.2926593
1,-1.707583
0,-.25485766
0,-1.3670034
0,-1.1462618
0,-.78459668
0,-1.5833937
1,-1.2199595
0,-1.2693118
1,-1.2574761
1,-1.4879583
1,-1.2444109
0,-.8017717
0,-1.6142389
1,-.76172513
1,-1.327255
1,-1.2005373
1,-1.0350728
0,-1.1098384
0,-.53173572
0,-1.5802857
0,-.93408734
1,-.93173641
0,-1.3937764
0,-1.2477475
0,-1.1627301
1,-1.2165489
1,-1.2201407
0,-.94438291
0,-1.1778352
1,-.74760729
1,-1.1145495
1,-.096956864
1,-1.4746063
0,-1.0370364
1,-1.4276552
0,-.99953276
0,-1.3652041
0,-.55185139
0,.22029972
1,-1.4590943
1,-.87916267
0,-1.3917606
0,-.33401978
1,-1.0336938
1,-1.4487838
0,-.4837777
0,-.74319029
0,-1.1273366
0,-.52857929
0,-1.3787115
1,-1.3909353
0,-.14694951
1,-.92919362
0,-1.3412921
0,-1.4541763
0,-.79459012
0,-1.4416654
0,-.25492987
0,-1.0400053
1,-.53744417
1,-1.4564247
1,-.18964715
1,-1.0210117
1,-.36485404
0,-1.6076133
1,-1.2679421
1,-.57758135
1,-1.550378
0,.22932452
1,-.97199702
0,-.81470138
0,-.91056466
0,-.96680015
0,-.78085124
1,-1.2351136
0,-1.1203412
0,-.70380104
0,-.56798339
1,-.74916327
0,-.78230453
0,-.34009817
0,-.44274539
1,-.71505386
0,-1.2852361
0,-.80635154
0,-1.4091671
1,-1.2214224
1,-.72756642
0,-.32709768
0,-.74849063
1,-1.3516332
1,-1.0204315
0,-1.5797082
1,-1.2739767
0,-1.2333264
1,-.84018332
0,-1.692531
0,-.65442193
1,-.61306101
1,-.27673334
1,-.82346863
1,-1.4554505
1,-.77628112
1,-.68737864
0,-.93900895
1,-.73963434
1,-1.5735106
1,-1.4760751
0,-.088922448
1,-.13365412
0,-.10478462
0,-.14396375
0,-1.3889614
0,-1.1808569
0,-1.5713933
0,-.41879034
1,-1.3669173
1,-1.0282254
0,-1.4040152
0,-.55779076
0,.70036536
0,-1.2480615
1,-.076677434
0,-1.3510439
1,-.67881483
0,-.54927421
1,-1.2490305
1,-.85324574
0,-1.1448072
0,.073372997
0,-.91720951
0,-.38714591
1,-.20660657
1,-1.3539044
1,-1.3232574
0,-.69950271
0,-.33442605
1,-.096481241
0,-1.3344705
0,-.71009827
1,-1.5163376
0,-.12293307
1,-.67495185
1,-.93266624
1,-1.5826112
0,-.1104457
1,-1.317721
0,-.7630412
1,-1.1184373
1,-1.3166918
0,-1.01368
0,-1.0250185
0,-.092420481
1,-.88422495
0,-1.1857029
0,-1.1814841
1,-1.5483103
1,-.93907231
0,-.55958432
0,-.71270847
0,-.96333504
0,-1.3004867
0,-1.0681938
0,.31390214
1,-1.2794721
1,-1.0129012
0,-.3197456
0,-.51211756
0,-1.0155516
1,-.50176787
1,-1.0951413
0,-1.6247028
0,-1.404174
1,-.74427611
1,.08191976
0,-.71263891
1,-1.357991
1,-1.2354425
0,-1.3109554
1,.019884843
0,-.094294369
0,-1.4207536
0,-1.3947332
1,-1.672772
0,-1.5899087
0,-1.408381
0,-1.4207482
1,-.92581975
0,-1.4555134
1,-1.6330488
0,-.58813512
1,-1.2396141
0,-1.3031545
1,-1.1753793
1,-1.3512477
1,-1.5570982
1,-1.4797925
0,-.80924481
0,-.46566564
0,-1.4004315
1,-.11044558
1,-.95919001
0,-1.0667109
1,.10704246
0,-1.4269664
0,-.29744366
1,-1.5886455
0,-1.1850874
1,-.6283409
0,-1.3441975
1,-1.4826943
0,.51411301
1,-1.3710413
0,-1.4824594
0,-.77030307
0,-1.0484715
1,-1.7175139
1,-1.3403953
0,-1.1828021
1,-1.4660146
0,-1.4523222
0,-1.1913685
1,-.8608492
0,-.39614567
1,-1.0185027
1,-.80713153
0,-.99153024
0,-1.4266418
1,-1.3943355
1,-1.3407642
1,-1.4813528
0,-.27760804
0,-.9741168
1,-.98248219
1,-1.5842046
0,-.66208762
0,-.96936709
0,-1.2902513
0,-1.4982635
0,-.25697601
0,-1.4417804
1,-1.3304926
0,-.074768201
1,-1.6704435
0,-1.4825897
0,-1.1835996
1,-1.5017788
1,-1.4081672
1,-.41582704
0,-1.2557076
1,-.63097399
0,-1.433605
0,-.50918627
1,-1.7074182
1,-.96582103
0,-.90089303
0,.18149637
1,-.54847199
0,-.16441205
0,-.38404167
1,-1.6086897
0,-.86716133
1,-.87395972
1,-1.4685308
0,-1.292744
0,-1.1302824
0,-.7874819
1,-1.1385641
1,-1.6558672
0,-1.4522932
0,-1.2504203
1,-1.5758306
0,-.95648891
1,-1.3553287
0,-1.2197499
1,-.1087428
0,-.61279529
1,-.2990987
1,-.94258851
0,-.31056422
0,-1.3186275
0,-.0053697848
1,-.77665019
1,-1.1375433
0,-.93944418
0,-1.378219
0,-1.4233633
0,-.94106978
0,-.27331388
0,.23939708
1,-1.3609982
1,-.91801292
0,-1.4124234
1,-1.2228197
1,-1.6539119
1,-1.5861471
0,-1.0378286
1,-1.4312497
0,-1.4814234
1,-.6921221
0,-.8713612
0,-.48277235
0,-1.4596702
1,-.52685714
1,-.9302758
0,-1.115329
0,-1.2390628
0,-1.1005058
0,-.72399181
1,-.33936268
0,-1.4924756
1,-1.296289
1,-1.0596813
0,-1.4032965
1,-1.4106308
0,-.035870943
1,-1.510854
1,-.6834321
1,-1.4114968
0,-1.3703177
1,-1.0955371
1,-1.5458301
0,-1.3693111
0,-1.1703837
0,-.69345587
0,-1.0796427
0,-1.2285134
0,-1.425234
1,-1.3393269
1,-.1942661
1,-1.0341996
1,-1.3047258
0,-1.2331148
1,-1.7187262
1,-.7917434
1,-.95539564
0,-1.5880376
1,-1.3215053
0,-.81435233
0,-1.018579
0,-1.3173616
0,-.82376337
0,-.73457217
1,-.36333072
0,-.90013713
0,-.22058715
0,-.87207055
0,-1.4424057
0,.13975152
0,-.98049188
1,-1.394031
0,-1.4031147
1,-1.3714749
0,.39544302
1,-.72694188
1,-1.0665942
1,-1.4453993
1,-1.2016627
0,-1.5104508
1,-1.3594341
0,-1.4206151
1,.0082403021
1,-.5617277
1,-1.4627455
0,-1.4434001
0,-1.1719284
1,-1.7365963
0,-.14950411
0,-.69086647
1,-.90640199
0,-.3154653
0,-.48977903
1,-1.2860073
0,-1.2645426
1,-.081223294
0,-.17192702
1,-1.3601155
0,-1.3322098
0,-.077597119
1,-.55096591
1,-.71148193
0,-1.4411815
1,-.218003
1,-1.1337541
0,-1.6403445
0,-1.2514839
1,-1.1580328
0,-1.2018954
0,-1.4048318
0,-1.0275904
0,-1.1728779
0,-1.082973
1,-.47386247
1,-1.3599782
1,-.56275779
1,-.97648501
1,-1.5229166
1,-1.3626984
1,-1.2660123
1,-1.072951
1,.2914508
1,.012826171
1,.033095889
1,.43106717
1,-.70536983
1,-.40322241
1,-1.4831432
1,-1.4968619
1,-.051378455
1,-.42250505
1,-1.2694916
1,-.83291185
1,-1.508303
1,-1.5104874
1,-1.4091262
1,-1.3385901
1,-1.1219963
1,-1.3938167
1,-1.3224217
1,-1.4963697
1,-1.5234783
1,-1.4514418
1,-1.0180668
1,-1.2465365
1,-.51268411
1,-1.3140627
1,-.24324556
1,-1.4846836
1,-1.1517979
1,-1.4954275
1,-.32991612
1,-.55062699
1,-1.3844992
1,-.60957223
1,-1.4938896
1,-1.5309478
1,-1.3067297
1,-1.201471
1,-.22719906
1,-.72331482
1,-1.3707821
1,.027071116
1,-.40420622
1,-1.2476405
1,-.74173445
1,-1.2509449
1,-1.3673316
1,-1.3813208
1,-1.2120645
1,-1.2639915
1,-.17621046
1,-1.2831147
1,-.48722616
1,-.87658232
1,-.2452303
1,-1.5721177
1,-1.6255755
1,-.1081499
1,-1.4744741
1,-1.5136646
1,-1.0774095
1,-.37292176
1,-1.033295
1,-.50453645
1,-1.5955906
1,-.53659594
1,-1.4480801
1,-.874749
1,-1.4602427
1,-1.5931299
1,-.5695278
1,-1.6328263
1,-1.3315071
1,-1.4814327
1,-1.647599
1,-1.5061642
1,-1.5036824
1,-1.4007825
1,-.47876227
1,-1.2447004
1,-.93445981
1,-.41183969
