id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
62,-18.38274026315513,4.859624278327312,4.460516944384413,3.489066553718501,5.101167729361,4.419076701783662,-2.900751553668975,.6107716483160861,2.041061789016642,4.309015152874115,1
67,-5.555546940623243,4.697492850261333,3.972779102600736,3.450410354863278,5.131437860372386,4.4988967311662,-2.963398135009425,.5697119434012681,1.386004366351115,2.21876566557716,1
68,-18.604224730588,4.389932119923808,3.720816452842007,3.422769150515365,5.22034449272025,4.489495707419751,1.82226369687569,1.994430108406775,2.21670376794351,3.303487001825533,1
69,4.532201594171759,4.2374934694671,3.964384342380764,3.370410582971069,5.276191059180992,4.452432757719466,.1068138121041833,.3965467318037287,1.49814134349709,2.294758939130694,1
70,-17.43315475564563,5.838250701207559,3.791318274963201,3.649419192586723,5.139583167871344,4.470167502364752,5.317112874312145,1.00205969742258,1.76590412161554,2.728766308356277,1
71,-1.21385909784732,3.719772467474239,3.939777592147184,3.47889445216856,5.363305947245434,4.40194252078895,1.104559762344197,-1.023511321523784,1.19378064267278,1.318075220568029,1
73,-7.92742594584397,3.97615702542531,3.890746328664376,3.671906504109321,5.239253411103959,4.478261540534731,-1.838885648927934,.2882465271901425,2.127448958710761,2.328657361516317,1
75,-9.88807497845368,4.010601861070819,4.318792375595031,3.826561422985943,5.069276044451442,4.465830054829913,.3794062907140609,-.6756747416466843,.7771793688967251,5.651314595309098,1
81,-18.73072820776548,4.338071601072482,3.833323806204393,3.540054458429854,5.464686054074948,4.469013592934327,-1.421579199840247,.8230172183677639,1.693915555893708,4.174540684067853,1
84,-18.14597822543651,4.972663542816706,4.149287552690623,4.125740832961942,5.201233784245755,4.406019424524342,.4404257275916828,-2.267847599409243,2.277549297218107,3.228730017874069,1
85,4.539530662646373,4.259979813441316,3.992730166559797,3.445792562942839,5.231458742229047,4.442149990806779,-.5787879527403422,.0128078518301484,1.376469711638866,2.184209679264861,1
